,substrate-links-id,substrate-links-sources,substrate-links-target,bandwidth-resource,max-bandwidth-resource,substrate-topology
0,36905,36805,36807,966.116,1000,waxman
1,36906,36805,36808,996.439,1000,waxman
2,36907,36805,36809,142.37,1000,waxman
3,36908,36805,36810,775.665,1000,waxman
4,36909,36805,36811,393.023,1000,waxman
5,36910,36805,36813,263.139,1000,waxman
6,36911,36805,36814,496.48,1000,waxman
7,36912,36805,36815,838.028,1000,waxman
8,36913,36805,36816,294.984,1000,waxman
9,36914,36805,36819,952.101,1000,waxman
10,36915,36805,36820,33.64,1000,waxman
11,36916,36805,36822,945.619,1000,waxman
12,36917,36805,36824,958.337,1000,waxman
13,36918,36805,36826,563.507,1000,waxman
14,36919,36805,36827,628.059,1000,waxman
15,36920,36805,36828,520.548,1000,waxman
16,36921,36805,36831,846.016,1000,waxman
17,36922,36805,36837,951.185,1000,waxman
18,36923,36805,36838,530.592,1000,waxman
19,36924,36805,36839,694.575,1000,waxman
20,36925,36805,36841,509.58,1000,waxman
21,36926,36805,36843,832.484,1000,waxman
22,36927,36805,36844,610.96,1000,waxman
23,36928,36805,36849,768.189,1000,waxman
24,36929,36805,36851,475.266,1000,waxman
25,36930,36805,36852,38.579,1000,waxman
26,36931,36805,36853,865.93,1000,waxman
27,36932,36805,36854,447.312,1000,waxman
28,36933,36805,36855,495.794,1000,waxman
29,36934,36805,36857,530.027,1000,waxman
30,36935,36805,36858,314.212,1000,waxman
31,36936,36805,36859,677.847,1000,waxman
32,36937,36805,36862,56.772,1000,waxman
33,36938,36805,36865,894.767,1000,waxman
34,36939,36805,36866,599.023,1000,waxman
35,36940,36805,36867,418.797,1000,waxman
36,36941,36805,36871,179.832,1000,waxman
37,36942,36805,36872,644.383,1000,waxman
38,36943,36805,36874,975.721,1000,waxman
39,36944,36805,36876,621.445,1000,waxman
40,36945,36805,36877,374.216,1000,waxman
41,36946,36805,36878,129.353,1000,waxman
42,36947,36805,36879,874.599,1000,waxman
43,36948,36805,36882,15.089,1000,waxman
44,36949,36805,36885,54.35,1000,waxman
45,36950,36805,36886,305.11,1000,waxman
46,36951,36805,36887,897.879,1000,waxman
47,36952,36805,36888,39.078,1000,waxman
48,36953,36805,36890,863.0,1000,waxman
49,36954,36805,36893,898.149,1000,waxman
50,36955,36805,36894,935.149,1000,waxman
51,36956,36805,36896,406.424,1000,waxman
52,36957,36805,36898,117.963,1000,waxman
53,36958,36805,36900,745.037,1000,waxman
54,36959,36805,36902,62.905,1000,waxman
55,36960,36805,36903,335.984,1000,waxman
56,36961,36805,36904,34.747,1000,waxman
57,36962,36806,36808,207.07,1000,waxman
58,36963,36806,36812,31.595,1000,waxman
59,36964,36806,36813,448.267,1000,waxman
60,36965,36806,36816,468.605,1000,waxman
61,36966,36806,36818,599.437,1000,waxman
62,36967,36806,36820,437.465,1000,waxman
63,36968,36806,36822,684.118,1000,waxman
64,36969,36806,36823,666.271,1000,waxman
65,36970,36806,36824,516.162,1000,waxman
66,36971,36806,36825,126.74,1000,waxman
67,36972,36806,36827,376.101,1000,waxman
68,36973,36806,36829,921.12,1000,waxman
69,36974,36806,36830,780.704,1000,waxman
70,36975,36806,36832,986.088,1000,waxman
71,36976,36806,36836,779.104,1000,waxman
72,36977,36806,36837,85.043,1000,waxman
73,36978,36806,36838,506.997,1000,waxman
74,36979,36806,36839,36.034,1000,waxman
75,36980,36806,36840,949.741,1000,waxman
76,36981,36806,36846,606.107,1000,waxman
77,36982,36806,36847,416.813,1000,waxman
78,36983,36806,36849,662.916,1000,waxman
79,36984,36806,36852,853.357,1000,waxman
80,36985,36806,36854,133.189,1000,waxman
81,36986,36806,36857,126.765,1000,waxman
82,36987,36806,36858,900.19,1000,waxman
83,36988,36806,36859,972.957,1000,waxman
84,36989,36806,36864,757.07,1000,waxman
85,36990,36806,36866,591.84,1000,waxman
86,36991,36806,36869,901.317,1000,waxman
87,36992,36806,36870,496.147,1000,waxman
88,36993,36806,36872,642.037,1000,waxman
89,36994,36806,36875,272.297,1000,waxman
90,36995,36806,36879,134.178,1000,waxman
91,36996,36806,36880,364.174,1000,waxman
92,36997,36806,36882,142.885,1000,waxman
93,36998,36806,36888,876.829,1000,waxman
